county,dem_votes,rep_votes,total_votes,year,office,state
Washington,17786.0,49420.0,69501.0,2022,sen,UT
Wayne,415.0,1056.0,1514.0,2022,sen,UT
Weber,31265.0,42007.0,77039.0,2022,sen,UT
Beaver,394.0,2781.0,3270.0,2024,pres,UT
Box Elder,5274.0,22853.0,28970.0,2024,pres,UT
Cache,18718.0,39457.0,59920.0,2024,pres,UT
Carbon,2525.0,6719.0,9521.0,2024,pres,UT
Daggett,101.0,443.0,560.0,2024,pres,UT
Davis,59895.0,101293.0,166023.0,2024,pres,UT
Duchesne,1009.0,7815.0,9088.0,2024,pres,UT
Emery,603.0,4341.0,5092.0,2024,pres,UT
Garfield,541.0,2211.0,2834.0,2024,pres,UT
Grand,2828.0,2327.0,5309.0,2024,pres,UT
Iron,5683.0,21571.0,28071.0,2024,pres,UT
Juab,734.0,5671.0,6597.0,2024,pres,UT
Kane,1137.0,3277.0,4546.0,2024,pres,UT
Millard,713.0,5558.0,6459.0,2024,pres,UT
Morgan,1256.0,5300.0,6752.0,2024,pres,UT
Piute,94.0,854.0,976.0,2024,pres,UT
Rich,214.0,1211.0,1467.0,2024,pres,UT
Salt Lake,273658.0,221555.0,510069.0,2024,pres,UT
San Juan,2581.0,3613.0,6379.0,2024,pres,UT
Sanpete,1906.0,10653.0,12935.0,2024,pres,UT
Sevier,1236.0,9526.0,11084.0,2024,pres,UT
Summit,14612.0,10783.0,26156.0,2024,pres,UT
Tooele,9560.0,23484.0,34035.0,2024,pres,UT
Uintah,1952.0,13599.0,16017.0,2024,pres,UT
Utah,84937.0,203476.0,297065.0,2024,pres,UT
Wasatch,6459.0,11495.0,18492.0,2024,pres,UT
Washington,22327.0,73165.0,98356.0,2024,pres,UT
Wayne,381.0,1238.0,1667.0,2024,pres,UT
Weber,41238.0,67549.0,112050.0,2024,pres,UT
Adams,1814.0,3907.0,5862.0,2020,pres,WA
Asotin,4250.0,7319.0,11951.0,2020,pres,WA
Benton,38706.0,60365.0,103033.0,2020,pres,WA
Chelan,19349.0,22746.0,43306.0,2020,pres,WA
Clallam,24721.0,23062.0,49264.0,2020,pres,WA
Clark,140324.0,126303.0,275403.0,2020,pres,WA
Columbia,668.0,1754.0,2495.0,2020,pres,WA
Cowlitz,23938.0,34424.0,60280.0,2020,pres,WA
Douglas,7811.0,12955.0,21308.0,2020,pres,WA
Ferry,1486.0,2771.0,4367.0,2020,pres,WA
Franklin,13340.0,18039.0,32404.0,2020,pres,WA
Garfield,366.0,1069.0,1489.0,2020,pres,WA
Grant,11819.0,24764.0,37680.0,2020,pres,WA
Grays Harbor,17354.0,19877.0,38441.0,2020,pres,WA
Island,29213.0,22746.0,53925.0,2020,pres,WA
Jefferson,17204.0,6931.0,24792.0,2020,pres,WA
King,907310.0,269167.0,1210507.0,2020,pres,WA
Kitsap,90277.0,61563.0,158672.0,2020,pres,WA
Kittitas,11421.0,14105.0,26364.0,2020,pres,WA
Klickitat,5959.0,7237.0,13560.0,2020,pres,WA
Lewis,14520.0,29391.0,45309.0,2020,pres,WA
Lincoln,1713.0,5150.0,7033.0,2020,pres,WA
Mason,17269.0,18710.0,37303.0,2020,pres,WA
Okanogan,8900.0,11840.0,21282.0,2020,pres,WA
Pacific,6794.0,6953.0,14064.0,2020,pres,WA
Pend Oreille,2593.0,5728.0,8553.0,2020,pres,WA
Pierce,249506.0,197730.0,464081.0,2020,pres,WA
San Juan,9725.0,3057.0,13197.0,2020,pres,WA
Skagit,38252.0,32762.0,73423.0,2020,pres,WA
Skamania,3192.0,3885.0,7312.0,2020,pres,WA
Snohomish,256728.0,166428.0,438796.0,2020,pres,WA
Spokane,135765.0,148576.0,295430.0,2020,pres,WA
Stevens,7839.0,19808.0,28430.0,2020,pres,WA
Thurston,96608.0,65277.0,168134.0,2020,pres,WA
Wahkiakum,1165.0,1741.0,2981.0,2020,pres,WA
Walla Walla,13690.0,16400.0,31261.0,2020,pres,WA
Whatcom,83660.0,50489.0,138620.0,2020,pres,WA
Whitman,11184.0,9067.0,21126.0,2020,pres,WA
Yakima,43179.0,50555.0,96193.0,2020,pres,WA
Adams,1333.0,3204.0,4537.0,2022,sen,WA
Asotin,3124.0,6001.0,9125.0,2022,sen,WA
Benton,28452.0,49496.0,77948.0,2022,sen,WA
Chelan,14223.0,18650.0,32873.0,2022,sen,WA
Clallam,18172.0,18910.0,37082.0,2022,sen,WA
Clark,103148.0,103561.0,206709.0,2022,sen,WA
Columbia,491.0,1438.0,1929.0,2022,sen,WA
Cowlitz,17596.0,28226.0,45822.0,2022,sen,WA
Douglas,5742.0,10622.0,16364.0,2022,sen,WA
Ferry,1092.0,2272.0,3364.0,2022,sen,WA
Franklin,9806.0,14791.0,24597.0,2022,sen,WA
Garfield,269.0,877.0,1146.0,2022,sen,WA
Grant,8688.0,20305.0,28993.0,2022,sen,WA
Grays Harbor,12756.0,16298.0,29054.0,2022,sen,WA
Island,21474.0,18650.0,40124.0,2022,sen,WA
Jefferson,12646.0,5683.0,18329.0,2022,sen,WA
King,666935.0,220701.0,887636.0,2022,sen,WA
Kitsap,66360.0,50478.0,116838.0,2022,sen,WA
Kittitas,8395.0,11565.0,19960.0,2022,sen,WA
Klickitat,4380.0,5934.0,10314.0,2022,sen,WA
