county,state,year,office,dem_votes,rep_votes,total_votes,cvap,treat,treat_year,dem_share,rep_share,turnout,log_cvap,county_id,state_year,county_idx,state_year_idx,year_2020,year_2022,year_2024,state_CA,state_UT,state_WA
Napa,CA,2020,pres,49817.0,20676.0,72150.0,96787,1,2018.0,0.7066942817017292,0.29330571829827073,0.7454513519377602,11.480267966725288,CA_Napa,CA_2020,27,0,1,0,0,1,0,0
Nevada,CA,2020,pres,36359.0,26779.0,64750.0,80508,1,2018.0,0.5758655643194273,0.42413443568057274,0.8042678988423511,11.296111837350889,CA_Nevada,CA_2020,28,0,1,0,0,1,0,0
Orange,CA,2020,pres,814009.0,676498.0,1522113.0,2082661,1,2020.0,0.5461289346510952,0.45387106534890476,0.730850099944254,14.549156960959168,CA_Orange,CA_2020,29,0,1,0,0,1,0,0
Placer,CA,2020,pres,106869.0,122488.0,235084.0,286400,0,2024.0,0.46595046150760605,0.534049538492394,0.8208240223463688,12.565144714068628,CA_Placer,CA_2020,30,0,1,0,0,1,0,0
Plumas,CA,2020,pres,4561.0,6445.0,11260.0,15544,0,inf,0.41441032164274033,0.5855896783572597,0.7243952650540402,9.651429991057276,CA_Plumas,CA_2020,31,0,1,0,0,1,0,0
Riverside,CA,2020,pres,528340.0,449144.0,997156.0,1552582,0,2022.0,0.5405101259969473,0.45948987400305275,0.6422565764642383,14.255429909430374,CA_Riverside,CA_2020,32,0,1,0,0,1,0,0
Sacramento,CA,2020,pres,440808.0,259405.0,718440.0,1048101,1,2018.0,0.6295341560353778,0.3704658439646222,0.6854682897926822,13.862490513265247,CA_Sacramento,CA_2020,33,0,1,0,0,1,0,0
San Benito,CA,2020,pres,17628.0,10590.0,28830.0,37944,0,2022.0,0.6247076334254731,0.3752923665745269,0.7598039215686274,10.543866667557417,CA_San Benito,CA_2020,34,0,1,0,0,1,0,0
San Bernardino,CA,2020,pres,455859.0,366257.0,841130.0,1374776,0,inf,0.5544947428343445,0.4455052571656555,0.6118305818547894,14.133801366720773,CA_San Bernardino,CA_2020,35,0,1,0,0,1,0,0
San Diego,CA,2020,pres,964650.0,600094.0,1602143.0,2282056,0,2022.0,0.6164906208299888,0.3835093791700112,0.7020612114689561,14.640587348980361,CA_San Diego,CA_2020,36,0,1,0,0,1,0,0
San Francisco,CA,2020,pres,378156.0,56417.0,443553.0,659475,0,inf,0.8701783129646803,0.12982168703531974,0.6725850108040486,13.399199342915313,CA_San Francisco,CA_2020,37,0,1,0,0,1,0,0
San Joaquin,CA,2020,pres,161137.0,121098.0,288492.0,457954,0,inf,0.5709320247311638,0.4290679752688363,0.6299584674443285,13.034524021370999,CA_San Joaquin,CA_2020,38,0,1,0,0,1,0,0
San Luis Obispo,CA,2020,pres,88310.0,67436.0,159714.0,221355,0,inf,0.56701295699408,0.4329870430059199,0.7215287660093515,12.30752302656566,CA_San Luis Obispo,CA_2020,39,0,1,0,0,1,0,0
San Mateo,CA,2020,pres,291496.0,75584.0,374251.0,508102,1,2018.0,0.7940939304783698,0.20590606952163015,0.736566673620651,13.138437493807102,CA_San Mateo,CA_2020,40,0,1,0,0,1,0,0
Santa Barbara,CA,2020,pres,129963.0,65736.0,200339.0,287334,0,inf,0.6640963929299588,0.33590360707004124,0.697233881127886,12.568400581160644,CA_Santa Barbara,CA_2020,41,0,1,0,0,1,0,0
Santa Clara,CA,2020,pres,617967.0,214612.0,850741.0,1193649,1,2020.0,0.7422322686495816,0.2577677313504184,0.7127229193841741,13.992525559867833,CA_Santa Clara,CA_2020,42,0,1,0,0,1,0,0
Santa Cruz,CA,2020,pres,114246.0,26937.0,144837.0,194651,0,2022.0,0.8092050742653152,0.19079492573468476,0.744085568530344,12.178963490451554,CA_Santa Cruz,CA_2020,43,0,1,0,0,1,0,0
Shasta,CA,2020,pres,30000.0,60789.0,92930.0,138735,0,inf,0.330436506625252,0.6695634933747481,0.6698381807042203,11.84032091765647,CA_Shasta,CA_2020,44,0,1,0,0,1,0,0
Sierra,CA,2020,pres,730.0,1142.0,1931.0,2499,0,inf,0.38995726495726496,0.6100427350427351,0.7727090836334534,7.823645930834952,CA_Sierra,CA_2020,45,0,1,0,0,1,0,0
Siskiyou,CA,2020,pres,9593.0,13290.0,23472.0,34460,0,inf,0.4192195079316523,0.5807804920683477,0.6811375507835171,10.44755451008192,CA_Siskiyou,CA_2020,46,0,1,0,0,1,0,0
Solano,CA,2020,pres,131639.0,69306.0,205877.0,312186,0,inf,0.6550996541342158,0.34490034586578416,0.6594690344858514,12.651354443008662,CA_Solano,CA_2020,47,0,1,0,0,1,0,0
Sonoma,CA,2020,pres,199938.0,61825.0,268317.0,363140,0,2022.0,0.7638130675458334,0.23618693245416655,0.7388803216390373,12.802543713824658,CA_Sonoma,CA_2020,48,0,1,0,0,1,0,0
Stanislaus,CA,2020,pres,105841.0,104145.0,214954.0,341715,0,2022.0,0.5040383644623927,0.49596163553760725,0.6290446717293651,12.741732335296165,CA_Stanislaus,CA_2020,49,0,1,0,0,1,0,0
Sutter,CA,2020,pres,17367.0,24375.0,42644.0,62092,0,inf,0.41605577116573234,0.5839442288342677,0.6867873478064807,11.036372435146333,CA_Sutter,CA_2020,50,0,1,0,0,1,0,0
Tehama,CA,2020,pres,8911.0,19141.0,28731.0,46124,0,inf,0.317660059888778,0.682339940111222,0.6229078137195386,10.739088700891006,CA_Tehama,CA_2020,51,0,1,0,0,1,0,0
Trinity,CA,2020,pres,2851.0,3188.0,6259.0,10562,0,inf,0.4720980294750787,0.5279019705249214,0.5925960992236319,9.26501793326688,CA_Trinity,CA_2020,52,0,1,0,0,1,0,0
Tulare,CA,2020,pres,66105.0,77579.0,146885.0,257932,0,inf,0.4600721026697475,0.5399278973302525,0.5694717987686677,12.460451263272688,CA_Tulare,CA_2020,53,0,1,0,0,1,0,0
Tuolumne,CA,2020,pres,11978.0,17689.0,30408.0,45022,1,2020.0,0.40374827249132034,0.5962517275086797,0.6754031362445027,10.714906538174109,CA_Tuolumne,CA_2020,54,0,1,0,0,1,0,0
Ventura,CA,2020,pres,251388.0,162207.0,422825.0,569032,0,2022.0,0.6078119899902078,0.3921880100097922,0.7430601442449634,13.25169195054293,CA_Ventura,CA_2020,55,0,1,0,0,1,0,0
Yolo,CA,2020,pres,67598.0,27292.0,97294.0,147415,0,2022.0,0.7123827589840869,0.2876172410159132,0.6600006783570193,11.901007017467512,CA_Yolo,CA_2020,56,0,1,0,0,1,0,0
Yuba,CA,2020,pres,11230.0,17676.0,29796.0,51183,0,inf,0.38850065730298206,0.6114993426970179,0.5821464158021218,10.843162724643019,CA_Yuba,CA_2020,57,0,1,0,0,1,0,0
Alameda,CA,2022,gov,387046.0,100923.0,487969.0,1112628,1,2022.0,0.7931774354518423,0.20682256454815778,0.43857335964940664,13.922235342583853,CA_Alameda,CA_2022,0,1,0,1,0,1,0,0
Alpine,CA,2022,gov,363.0,256.0,619.0,930,0,inf,0.5864297253634895,0.4135702746365105,0.6655913978494624,6.835184586147301,CA_Alpine,CA_2022,1,1,0,1,0,1,0,0
Amador,CA,2022,gov,6027.0,12628.0,18655.0,32359,1,2020.0,0.3230769230769231,0.676923076923077,0.5765011279705801,10.384647468346362,CA_Amador,CA_2022,2,1,0,1,0,1,0,0
Butte,CA,2022,gov,31502.0,40939.0,72441.0,180793,1,2020.0,0.4348642343424304,0.5651357656575696,0.4006847610250397,12.105108009376538,CA_Butte,CA_2022,3,1,0,1,0,1,0,0
Calaveras,CA,2022,gov,7103.0,14137.0,21240.0,37611,1,2020.0,0.3344161958568738,0.6655838041431261,0.5647284039243838,10.535051839784135,CA_Calaveras,CA_2022,4,1,0,1,0,1,0,0
Colusa,CA,2022,gov,1553.0,4009.0,5562.0,12864,0,inf,0.2792161093131967,0.7207838906868033,0.43236940298507465,9.462187991418748,CA_Colusa,CA_2022,5,1,0,1,0,1,0,0
Contra Costa,CA,2022,gov,265371.0,123132.0,388503.0,782828,0,inf,0.6830603624682435,0.3169396375317565,0.4962814309145815,13.570668282898598,CA_Contra Costa,CA_2022,6,1,0,1,0,1,0,0
Del Norte,CA,2022,gov,3264.0,5111.0,8375.0,21434,0,inf,0.3897313432835821,0.610268656716418,0.39073434729868434,9.972733725272942,CA_Del Norte,CA_2022,7,1,0,1,0,1,0,0
El Dorado,CA,2022,gov,34534.0,54137.0,88671.0,146723,1,2020.0,0.38946216914210957,0.6105378308578904,0.6043428773948188,11.896301734391395,CA_El Dorado,CA_2022,8,1,0,1,0,1,0,0
Fresno,CA,2022,gov,98417.0,120668.0,219085.0,604281,1,2020.0,0.4492183399137321,0.5507816600862678,0.36255483789826254,13.311794600518276,CA_Fresno,CA_2022,9,1,0,1,0,1,0,0
Glenn,CA,2022,gov,1930.0,6000.0,7930.0,17565,0,inf,0.24337957124842372,0.7566204287515763,0.4514659834898947,9.773663564699927,CA_Glenn,CA_2022,10,1,0,1,0,1,0,0
Humboldt,CA,2022,gov,29541.0,18257.0,47798.0,109616,0,2024.0,0.618038411649023,0.38196158835097704,0.43604948182747044,11.60473862824268,CA_Humboldt,CA_2022,11,1,0,1,0,1,0,0
Imperial,CA,2022,gov,16711.0,13158.0,29869.0,106724,0,2024.0,0.5594763801935116,0.44052361980648835,0.2798714440987969,11.578001341706416,CA_Imperial,CA_2022,12,1,0,1,0,1,0,0
Inyo,CA,2022,gov,3382.0,4095.0,7477.0,14206,0,inf,0.4523204493780928,0.5476795506219072,0.5263269041250176,9.561419689557756,CA_Inyo,CA_2022,13,1,0,1,0,1,0,0
Kern,CA,2022,gov,69706.0,119006.0,188712.0,536265,0,inf,0.36937767603544025,0.6306223239645598,0.35190064613577243,13.192383720861127,CA_Kern,CA_2022,14,1,0,1,0,1,0,0
Kings,CA,2022,gov,9389.0,17523.0,26912.0,96761,1,2022.0,0.34887782401902495,0.651122175980975,0.2781285848637364,11.47999929951967,CA_Kings,CA_2022,15,1,0,1,0,1,0,0
Lake,CA,2022,gov,9771.0,10360.0,20131.0,49712,0,inf,0.4853708211216532,0.5146291788783468,0.40495252655294495,10.814001631632829,CA_Lake,CA_2022,16,1,0,1,0,1,0,0
Lassen,CA,2022,gov,1444.0,7726.0,9170.0,26150,0,inf,0.1574700109051254,0.8425299890948746,0.35066921606118545,10.171604469493069,CA_Lassen,CA_2022,17,1,0,1,0,1,0,0
Los Angeles,CA,2022,gov,1620053.0,769174.0,2389227.0,6523270,1,2020.0,0.6780657509730135,0.32193424902698653,0.36626216606088663,15.690886341919155,CA_Los Angeles,CA_2022,18,1,0,1,0,1,0,0
Madera,CA,2022,gov,13283.0,23678.0,36961.0,94946,1,2018.0,0.3593788046860204,0.6406211953139797,0.38928443536325913,11.461063587917554,CA_Madera,CA_2022,19,1,0,1,0,1,0,0
Marin,CA,2022,gov,95289.0,23775.0,119064.0,191926,1,2022.0,0.8003174763152591,0.199682523684741,0.6203640986630263,12.164865160051159,CA_Marin,CA_2022,20,1,0,1,0,1,0,0
Mariposa,CA,2022,gov,2944.0,4896.0,7840.0,14560,1,2020.0,0.37551020408163266,0.6244897959183674,0.5384615384615384,9.586033321750676,CA_Mariposa,CA_2022,21,1,0,1,0,1,0,0
Mendocino,CA,2022,gov,19031.0,11363.0,30394.0,64214,0,inf,0.6261433177600843,0.37385668223991575,0.4733235742984396,11.069976534440391,CA_Mendocino,CA_2022,22,1,0,1,0,1,0,0
Merced,CA,2022,gov,25200.0,30073.0,55273.0,155079,1,2022.0,0.4559188030322219,0.5440811969677781,0.3564183416194327,11.95168994347932,CA_Merced,CA_2022,23,1,0,1,0,1,0,0
Modoc,CA,2022,gov,687.0,2725.0,3412.0,7004,0,inf,0.20134818288393905,0.7986518171160609,0.48715019988577957,8.854236693405742,CA_Modoc,CA_2022,24,1,0,1,0,1,0,0
Mono,CA,2022,gov,2493.0,2076.0,4569.0,10088,0,inf,0.5456336178594878,0.45436638214051217,0.45291435368754956,9.219101877644755,CA_Mono,CA_2022,25,1,0,1,0,1,0,0
Monterey,CA,2022,gov,65262.0,36867.0,102129.0,239943,0,inf,0.6390153629233616,0.36098463707663836,0.4256385891649267,12.388156674116537,CA_Monterey,CA_2022,26,1,0,1,0,1,0,0
Napa,CA,2022,gov,32437.0,17671.0,50108.0,98685,1,2018.0,0.6473417418376307,0.3526582581623693,0.5077570046106298,11.499688238188208,CA_Napa,CA_2022,27,1,0,1,0,1,0,0
Nevada,CA,2022,gov,26655.0,24082.0,50737.0,82087,1,2018.0,0.5253562488913416,0.47464375110865836,0.6180881260126451,11.31553493941931,CA_Nevada,CA_2022,28,1,0,1,0,1,0,0
Orange,CA,2022,gov,464206.0,492734.0,956940.0,2123498,1,2020.0,0.48509415428344516,0.5149058457165548,0.45064323112147975,14.56857528689372,CA_Orange,CA_2022,29,1,0,1,0,1,0,0
Placer,CA,2022,gov,73619.0,108450.0,182069.0,292016,0,2024.0,0.4043467037222152,0.5956532962777848,0.6234898087776012,12.584563874269802,CA_Placer,CA_2022,30,1,0,1,0,1,0,0
Plumas,CA,2022,gov,3083.0,5550.0,8633.0,15849,0,inf,0.357118035445384,0.642881964554616,0.5447031358445328,9.670861685832426,CA_Plumas,CA_2022,31,1,0,1,0,1,0,0
Riverside,CA,2022,gov,285000.0,310901.0,595901.0,1583025,1,2022.0,0.47826736320294816,0.5217326367970518,0.3764318314619163,14.274848131536928,CA_Riverside,CA_2022,32,1,0,1,0,1,0,0
Sacramento,CA,2022,gov,274680.0,202933.0,477613.0,1068652,1,2018.0,0.5751099739747453,0.4248900260252548,0.4469303384076388,13.881908599122347,CA_Sacramento,CA_2022,33,1,0,1,0,1,0,0
San Benito,CA,2022,gov,10428.0,9150.0,19578.0,38688,1,2022.0,0.5326386760649708,0.4673613239350291,0.5060483870967742,10.56328475341452,CA_San Benito,CA_2022,34,1,0,1,0,1,0,0
San Bernardino,CA,2022,gov,215391.0,239109.0,454500.0,1401732,0,inf,0.4739075907590759,0.526092409240924,0.3242417238102576,14.153219172811978,CA_San Bernardino,CA_2022,35,1,0,1,0,1,0,0
San Diego,CA,2022,gov,574121.0,455107.0,1029228.0,2326802,1,2022.0,0.5578171211820899,0.44218287881791013,0.4423358755923366,14.66000535056797,CA_San Diego,CA_2022,36,1,0,1,0,1,0,0
San Francisco,CA,2022,gov,257402.0,44064.0,301466.0,672406,0,inf,0.8538342632336648,0.14616573676633518,0.4483392474189701,13.41861760373675,CA_San Francisco,CA_2022,37,1,0,1,0,1,0,0
San Joaquin,CA,2022,gov,85498.0,91827.0,177325.0,466934,0,inf,0.48215423657126744,0.5178457634287326,0.37976459199801255,13.05394319904022,CA_San Joaquin,CA_2022,38,1,0,1,0,1,0,0
San Luis Obispo,CA,2022,gov,61166.0,58464.0,119630.0,225695,0,inf,0.5112931538911645,0.4887068461088356,0.5300516183344779,12.326939809259397,CA_San Luis Obispo,CA_2022,39,1,0,1,0,1,0,0
San Mateo,CA,2022,gov,185599.0,61918.0,247517.0,518065,1,2018.0,0.7498434450967004,0.2501565549032996,0.47777209423527933,13.157855995994817,CA_San Mateo,CA_2022,40,1,0,1,0,1,0,0
Santa Barbara,CA,2022,gov,80648.0,54726.0,135374.0,292968,0,inf,0.5957421661471184,0.40425783385288167,0.4620777695857568,12.587818667017745,CA_Santa Barbara,CA_2022,41,1,0,1,0,1,0,0
Santa Clara,CA,2022,gov,379377.0,162518.0,541895.0,1217054,1,2020.0,0.7000931914854354,0.29990680851456464,0.4452514021563546,14.011943742390377,CA_Santa Clara,CA_2022,42,1,0,1,0,1,0,0
Santa Cruz,CA,2022,gov,79117.0,25052.0,104169.0,198468,1,2022.0,0.7595061870614098,0.24049381293859018,0.5248654694963419,12.198383157045793,CA_Santa Cruz,CA_2022,43,1,0,1,0,1,0,0
Shasta,CA,2022,gov,18607.0,49913.0,68520.0,141455,0,inf,0.2715557501459428,0.7284442498540572,0.4843943303524089,11.85973692428455,CA_Shasta,CA_2022,44,1,0,1,0,1,0,0
Sierra,CA,2022,gov,529.0,1014.0,1543.0,2548,0,inf,0.34283862605314325,0.6571613739468568,0.6055729984301413,7.843064016692054,CA_Sierra,CA_2022,45,1,0,1,0,1,0,0
Siskiyou,CA,2022,gov,6326.0,11397.0,17723.0,35136,0,inf,0.356937313095977,0.643062686904023,0.5044114298724954,10.466981524869203,CA_Siskiyou,CA_2022,46,1,0,1,0,1,0,0
Solano,CA,2022,gov,77769.0,52850.0,130619.0,318307,0,inf,0.5953881135210038,0.40461188647899615,0.41035541159949357,12.670771604859972,CA_Solano,CA_2022,47,1,0,1,0,1,0,0
Sonoma,CA,2022,gov,140041.0,57413.0,197454.0,370260,1,2022.0,0.7092335430024208,0.2907664569975792,0.5332847188462162,12.821960740543167,CA_Sonoma,CA_2022,48,1,0,1,0,1,0,0
Stanislaus,CA,2022,gov,55311.0,75656.0,130967.0,348415,1,2022.0,0.4223277619553017,0.5776722380446982,0.3758936899961253,12.761149576994654,CA_Stanislaus,CA_2022,49,1,0,1,0,1,0,0
Sutter,CA,2022,gov,9082.0,19024.0,28106.0,63310,0,inf,0.32313385042339715,0.6768661495766028,0.4439425051334702,11.055798573538173,CA_Sutter,CA_2022,50,1,0,1,0,1,0,0
Tehama,CA,2022,gov,5024.0,15607.0,20631.0,47028,0,inf,0.24351703746788814,0.7564829625321119,0.43869609594284253,10.758498447987632,CA_Tehama,CA_2022,51,1,0,1,0,1,0,0
Trinity,CA,2022,gov,1860.0,2667.0,4527.0,10769,0,inf,0.41086812458581845,0.5891318754141815,0.42037329371343674,9.284426915328881,CA_Trinity,CA_2022,52,1,0,1,0,1,0,0
Tulare,CA,2022,gov,33273.0,58053.0,91326.0,262990,0,inf,0.36433217265619866,0.6356678273438013,0.3472603521046428,12.479871287623327,CA_Tulare,CA_2022,53,1,0,1,0,1,0,0
Tuolumne,CA,2022,gov,8471.0,14759.0,23230.0,45905,1,2020.0,0.3646577701248386,0.6353422298751614,0.5060450931271103,10.7343293225778,CA_Tuolumne,CA_2022,54,1,0,1,0,1,0,0
Ventura,CA,2022,gov,153226.0,127709.0,280935.0,580190,1,2022.0,0.5454144197056259,0.4545855802943741,0.48421206846033193,13.271110915084853,CA_Ventura,CA_2022,55,1,0,1,0,1,0,0
Yolo,CA,2022,gov,44328.0,22807.0,67135.0,150306,1,2022.0,0.6602815223058017,0.3397184776941983,0.44665548946815165,11.920428495103959,CA_Yolo,CA_2022,56,1,0,1,0,1,0,0
Yuba,CA,2022,gov,6534.0,13097.0,19631.0,52187,0,inf,0.33284091487952727,0.6671590851204727,0.3761664782417077,10.862588700708992,CA_Yuba,CA_2022,57,1,0,1,0,1,0,0
Alameda,CA,2024,pres,499551.0,140789.0,669907.0,1134025,1,2022.0,0.7801339913171128,0.21986600868288722,0.5907338903463327,13.941283808882208,CA_Alameda,CA_2024,0,2,0,0,1,1,0,0
Alpine,CA,2024,pres,479.0,243.0,738.0,948,0,inf,0.6634349030470914,0.3365650969529086,0.7784810126582279,6.854354502255021,CA_Alpine,CA_2024,1,2,0,0,1,1,0,0
Amador,CA,2024,pres,7783.0,14018.0,22403.0,32981,1,2020.0,0.35700197238658776,0.6429980276134122,0.6792698826597132,10.403686917060819,CA_Amador,CA_2024,2,2,0,0,1,1,0,0
Butte,CA,2024,pres,44228.0,47179.0,94556.0,184270,1,2020.0,0.48385791022569385,0.5161420897743061,0.5131383296250068,12.124157352328906,CA_Butte,CA_2024,3,2,0,0,1,1,0,0
Calaveras,CA,2024,pres,9181.0,16625.0,26480.0,38334,1,2020.0,0.35576997597457954,0.6442300240254204,0.6907705952939949,10.554092509830399,CA_Calaveras,CA_2024,4,2,0,0,1,1,0,0
Colusa,CA,2024,pres,2431.0,4414.0,7021.0,13112,0,inf,0.35514974433893354,0.6448502556610665,0.535463697376449,9.481283120423665,CA_Colusa,CA_2024,5,2,0,0,1,1,0,0
Contra Costa,CA,2024,pres,356008.0,155308.0,528987.0,797883,0,inf,0.6962582825493433,0.30374171745065676,0.662988182477882,13.589717249141337,CA_Contra Costa,CA_2024,6,2,0,0,1,1,0,0
Del Norte,CA,2024,pres,4266.0,5999.0,10565.0,21846,0,inf,0.4155869459327813,0.5844130540672187,0.48361256065183555,9.991773117403488,CA_Del Norte,CA_2024,7,2,0,0,1,1,0,0
El Dorado,CA,2024,pres,47703.0,61109.0,111908.0,149544,1,2020.0,0.4383983384185568,0.5616016615814432,0.7483282512170332,11.915345942892168,CA_El Dorado,CA_2024,8,2,0,0,1,1,0,0
Fresno,CA,2024,pres,151628.0,165924.0,326049.0,615902,1,2020.0,0.47749030080112864,0.5225096991988714,0.5293845449438385,13.330843138950264,CA_Fresno,CA_2024,9,2,0,0,1,1,0,0
Glenn,CA,2024,pres,3260.0,6904.0,10442.0,17903,0,inf,0.32073986619441164,0.6792601338055884,0.5832542032061666,9.792723575551273,CA_Glenn,CA_2024,10,2,0,0,1,1,0,0
Humboldt,CA,2024,pres,39800.0,21559.0,64232.0,111724,1,2024.0,0.6486416010691178,0.35135839893088217,0.5749167591564928,11.623786823213376,CA_Humboldt,CA_2024,11,2,0,0,1,1,0,0
Imperial,CA,2024,pres,26083.0,26546.0,54038.0,108777,1,2024.0,0.49560128446293866,0.5043987155370613,0.49677781148588396,11.597055193997647,CA_Imperial,CA_2024,12,2,0,0,1,1,0,0
Inyo,CA,2024,pres,4201.0,4468.0,8953.0,14479,0,inf,0.4846002999192525,0.5153997000807475,0.6183438082740521,9.58045460278142,CA_Inyo,CA_2024,13,2,0,0,1,1,0,0
Kern,CA,2024,pres,108241.0,167879.0,283284.0,546578,0,inf,0.39200709836303055,0.6079929016369694,0.5182865025668798,13.211432302855268,CA_Kern,CA_2024,14,2,0,0,1,1,0,0
Kings,CA,2024,pres,15519.0,25074.0,41508.0,98622,1,2022.0,0.38230729436109673,0.6176927056389032,0.4208797225771126,11.499049639434581,CA_Kings,CA_2024,15,2,0,0,1,1,0,0
Lake,CA,2024,pres,12794.0,13161.0,26761.0,50668,0,inf,0.49293007127721056,0.5070699287227894,0.5281637325333544,10.833049826603522,CA_Lake,CA_2024,16,2,0,0,1,1,0,0
