county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
San Diego,574121,455107,1029228,2022,Governor,CA,2326802,0.5578171211820899,0.4423358755923366
San Francisco,257402,44064,301466,2022,Governor,CA,672407,0.8538342632336648,0.44833858065130194
San Joaquin,85498,91827,177325,2022,Governor,CA,466934,0.48215423657126744,0.37976459199801255
San Luis Obispo,61166,58464,119630,2022,Governor,CA,225696,0.5112931538911645,0.5300492698142635
San Mateo,185599,61918,247517,2022,Governor,CA,518066,0.7498434450967004,0.47777117201283237
Santa Barbara,80648,54726,135374,2022,Governor,CA,292968,0.5957421661471184,0.4620777695857568
Santa Clara,379377,162518,541895,2022,Governor,CA,1217055,0.7000931914854354,0.44525103631306717
Santa Cruz,79117,25052,104169,2022,Governor,CA,198468,0.7595061870614098,0.5248654694963419
Shasta,18607,49913,68520,2022,Governor,CA,141456,0.2715557501459428,0.4843909060061079
Sierra,529,1014,1543,2022,Governor,CA,2548,0.34283862605314325,0.6055729984301413
Siskiyou,6326,11397,17723,2022,Governor,CA,35136,0.356937313095977,0.5044114298724954
Solano,77769,52850,130619,2022,Governor,CA,318308,0.5953881135210038,0.41035412242230795
Sonoma,140041,57413,197454,2022,Governor,CA,370261,0.7092335430024208,0.5332832785521564
Stanislaus,55311,75656,130967,2022,Governor,CA,348416,0.4223277619553017,0.37589261113152095
Sutter,9082,19024,28106,2022,Governor,CA,63310,0.32313385042339715,0.4439425051334702
Tehama,5024,15607,20631,2022,Governor,CA,47029,0.24351703746788814,0.43868676773905463
Trinity,1860,2667,4527,2022,Governor,CA,10769,0.41086812458581845,0.42037329371343674
Tulare,33273,58053,91326,2022,Governor,CA,262990,0.36433217265619866,0.3472603521046428
Tuolumne,8471,14759,23230,2022,Governor,CA,45906,0.3646577701248386,0.5060340696205289
Ventura,153226,127709,280935,2022,Governor,CA,580190,0.5454144197056259,0.48421206846033193
Yolo,44328,22807,67135,2022,Governor,CA,150306,0.6602815223058017,0.44665548946815165
Yuba,6534,13097,19631,2022,Governor,CA,52187,0.33284091487952727,0.3761664782417077
Alameda,499551,140789,669800,2024,President,CA,1123327,0.7801339913171128,0.596264489325014
Alpine,479,243,738,2024,President,CA,940,0.6634349030470914,0.7851063829787234
Amador,7783,14018,22402,2024,President,CA,32671,0.35700197238658776,0.685684552049218
Butte,44228,47179,94523,2024,President,CA,182532,0.48385791022569385,0.5178434466285363
Calaveras,9181,16625,26479,2024,President,CA,37973,0.35576997597457954,0.6973112474653043
Colusa,2431,4414,7021,2024,President,CA,12988,0.35514974433893354,0.5405759162303665
Contra Costa,356008,155308,528904,2024,President,CA,790356,0.6962582825493433,0.6691971719073431
Del Norte,4266,5999,10564,2024,President,CA,21640,0.4155869459327813,0.48817005545286507
El Dorado,47703,61109,111890,2024,President,CA,148134,0.4383983384185568,0.755329633980045
