state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,ballots_cast_dem_pres,ballots_cast_rep_pres,dem_share_pres,dem_share_gov,dem_share_sen,ballots_cast_dem_gov,ballots_cast_rep_gov,turnout_share,year2,state_year
CA,San Benito,35,2020,general,1,0,43074,28830.0,17628.0,10590.0,0.6247076334254731,,,,,0.6693132748293634,4080400,CA_2020
CA,San Benito,35,2022,general,0,1,43074,19578.0,,,,0.5326386760649708,,10428.0,9150.0,0.4545201281515531,4088484,CA_2022
CA,San Benito,35,2024,general,1,1,43074,27652.0,15179.0,11702.0,0.5646739332614114,,,,,0.6419649904814969,4096576,CA_2024
CA,San Bernardino,36,2020,general,1,0,1425320,841130.0,455859.0,366257.0,0.5544947428343445,,,,,0.5901341453147363,4080400,CA_2020
CA,San Bernardino,36,2022,general,0,0,1425320,454500.0,,,,0.4739075907590759,,215391.0,239109.0,0.31887576123256534,4088484,CA_2022
CA,San Bernardino,36,2024,general,1,0,1425320,761846.0,362114.0,378416.0,0.48899301851376714,,,,,0.5345087418965566,4096576,CA_2024
CA,San Diego,37,2020,general,1,0,2315394,1602143.0,964650.0,600094.0,0.6164906208299888,,,,,0.6919526439128718,4080400,CA_2020
CA,San Diego,37,2022,general,0,1,2315394,1029228.0,,,,0.5578171211820899,,574121.0,455107.0,0.4445152747221423,4088484,CA_2022
CA,San Diego,37,2024,general,1,1,2315394,1478028.0,841372.0,593270.0,0.5864682617684411,,,,,0.6383483761295053,4096576,CA_2024
CA,San Francisco,38,2020,general,1,0,616394,443553.0,378156.0,56417.0,0.8701783129646803,,,,,0.7195933120698774,4080400,CA_2020
CA,San Francisco,38,2022,general,0,0,616394,301466.0,,,,0.8538342632336648,,257402.0,44064.0,0.4890800364701798,4088484,CA_2022
CA,San Francisco,38,2024,general,1,0,616394,402997.0,323719.0,62594.0,0.8379707646390362,,,,,0.6537977332680072,4096576,CA_2024
CA,San Joaquin,39,2020,general,1,0,499410,288492.0,161137.0,121098.0,0.5709320247311638,,,,,0.5776656454616448,4080400,CA_2020
CA,San Joaquin,39,2022,general,0,0,499410,177325.0,,,,0.48215423657126744,,85498.0,91827.0,0.3550689813980497,4088484,CA_2022
CA,San Joaquin,39,2024,general,1,0,499410,263709.0,126647.0,128996.0,0.4954057024835415,,,,,0.5280410884844116,4096576,CA_2024
CA,San Luis Obispo,40,2020,general,1,0,219609,159714.0,88310.0,67436.0,0.56701295699408,,,,,0.7272652760132782,4080400,CA_2020
CA,San Luis Obispo,40,2022,general,0,0,219609,119630.0,,,,0.5112931538911645,,61166.0,58464.0,0.5447408803828623,4088484,CA_2022
CA,San Luis Obispo,40,2024,general,1,0,219609,150812.0,81314.0,64932.0,0.5560083694596776,,,,,0.6867295966923032,4096576,CA_2024
CA,San Mateo,41,2020,general,1,1,494554,374251.0,291496.0,75584.0,0.7940939304783698,,,,,0.7567444606655693,4080400,CA_2020
CA,San Mateo,41,2022,general,0,1,494554,247517.0,,,,0.7498434450967004,,185599.0,61918.0,0.5004852857321951,4088484,CA_2022
CA,San Mateo,41,2024,general,1,1,494554,330565.0,242957.0,76616.0,0.7602550903862342,,,,,0.668410325262762,4096576,CA_2024
CA,Santa Barbara,42,2020,general,1,0,288340,200339.0,129963.0,65736.0,0.6640963929299588,,,,,0.6948012762710689,4080400,CA_2020
CA,Santa Barbara,42,2022,general,0,0,288340,135374.0,,,,0.5957421661471184,,80648.0,54726.0,0.4694943469515156,4088484,CA_2022
CA,Santa Barbara,42,2024,general,1,0,288340,184781.0,114149.0,64870.0,0.6376362285567454,,,,,0.6408441423319692,4096576,CA_2024
CA,Santa Clara,43,2020,general,1,1,1164887,850741.0,617967.0,214612.0,0.7422322686495816,,,,,0.7303206233737694,4080400,CA_2020
CA,Santa Clara,43,2022,general,0,1,1164887,541895.0,,,,0.7000931914854354,,379377.0,162518.0,0.46519104428154834,4088484,CA_2022
CA,Santa Clara,43,2024,general,1,1,1164887,750606.0,510744.0,210924.0,0.7077270988875771,,,,,0.6443594958137571,4096576,CA_2024
CA,Santa Cruz,44,2020,general,1,0,191057,144837.0,114246.0,26937.0,0.8092050742653152,,,,,0.7580826664293902,4080400,CA_2020
CA,Santa Cruz,44,2022,general,0,1,191057,104169.0,,,,0.7595061870614098,,79117.0,25052.0,0.5452247235118316,4088484,CA_2022
CA,Santa Cruz,44,2024,general,1,1,191057,134155.0,100998.0,27978.0,0.7830759211016003,,,,,0.7021726500468447,4096576,CA_2024
CA,Shasta,45,2020,general,1,0,138243,92930.0,30000.0,60789.0,0.330436506625252,,,,,0.6722221016615669,4080400,CA_2020
CA,Shasta,45,2022,general,0,0,138243,68520.0,,,,0.2715557501459428,,18607.0,49913.0,0.49564896595125973,4088484,CA_2022
CA,Shasta,45,2024,general,1,0,138243,88919.0,27130.0,59539.0,0.3130300338067821,,,,,0.6432079743639822,4096576,CA_2024
CA,Sierra,46,2020,general,1,0,2256,1931.0,730.0,1142.0,0.38995726495726496,,,,,0.8559397163120568,4080400,CA_2020
CA,Sierra,46,2022,general,0,0,2256,1543.0,,,,0.34283862605314325,,529.0,1014.0,0.6839539007092199,4088484,CA_2022
CA,Sierra,46,2024,general,1,0,2256,1755.0,641.0,1066.0,0.37551259519625074,,,,,0.7779255319148937,4096576,CA_2024
CA,Siskiyou,47,2020,general,1,0,33874,23472.0,9593.0,13290.0,0.4192195079316523,,,,,0.6929208242309736,4080400,CA_2020
