state,county,county_fips,year,dem_share_pres,total_votes_pres,dem_share_gov,total_votes_gov,dem_share_sen,total_votes_sen,vca_adopted,vca_year,vca_first_year,fips,cvap_2020,treat,treat_new_ca,turnout_pres,turnout_gov,turnout_sen,state_year,county_id
California,SANTA CRUZ,6087,2022,,,0.7595061870614098,104169.0,,,1.0,2022.0,2022.0,0500000US06087,194295,1,1,,0.5361383463290358,,California_2022,California_SANTA CRUZ
California,SANTA CRUZ,6087,2024,0.7529578409811011,134135.0,,,,,1.0,2022.0,2022.0,0500000US06087,194295,1,1,0.690367739777143,,,California_2024,California_SANTA CRUZ
California,SHASTA,6089,2020,0.32292787944025836,92900.0,,,,,0.0,,9999.0,0500000US06089,136020,0,0,0.6829877959123658,,,California_2020,California_SHASTA
California,SHASTA,6089,2022,,,0.2715557501459428,68520.0,,,0.0,,9999.0,0500000US06089,136020,0,0,,0.5037494486104984,,California_2022,California_SHASTA
California,SHASTA,6089,2024,0.3051743532058493,88900.0,,,,,0.0,,9999.0,0500000US06089,136020,0,0,0.653580355830025,,,California_2024,California_SHASTA
California,SIERRA,6091,2020,0.37823834196891193,1930.0,,,,,0.0,,9999.0,0500000US06091,2435,0,0,0.7926078028747433,,,California_2020,California_SIERRA
California,SIERRA,6091,2022,,,0.34283862605314325,1543.0,,,0.0,,9999.0,0500000US06091,2435,0,0,,0.6336755646817248,,California_2022,California_SIERRA
California,SIERRA,6091,2024,0.3654503990877993,1754.0,,,,,0.0,,9999.0,0500000US06091,2435,0,0,0.7203285420944558,,,California_2024,California_SIERRA
California,SISKIYOU,6093,2020,0.40908315565031983,23450.0,,,,,0.0,,9999.0,0500000US06093,33875,0,0,0.692250922509225,,,California_2020,California_SISKIYOU
California,SISKIYOU,6093,2022,,,0.356937313095977,17723.0,,,0.0,,9999.0,0500000US06093,33875,0,0,,0.5231881918819188,,California_2022,California_SISKIYOU
California,SISKIYOU,6093,2024,0.38759365256642936,21489.0,,,,,0.0,,9999.0,0500000US06093,33875,0,0,0.6343616236162362,,,California_2024,California_SISKIYOU
California,SOLANO,6095,2020,0.6395489503524736,205831.0,,,,,0.0,,9999.0,0500000US06095,313110,0,0,0.6573760020440101,,,California_2020,California_SOLANO
California,SOLANO,6095,2022,,,0.5953881135210038,130619.0,,,0.0,,9999.0,0500000US06095,313110,0,0,,0.41716649100954933,,California_2022,California_SOLANO
California,SOLANO,6095,2024,0.600508865640507,189834.0,,,,,0.0,,9999.0,0500000US06095,313110,0,0,0.606285331033822,,,California_2024,California_SOLANO
California,SONOMA,6097,2020,0.7453364746581572,268252.0,,,,,1.0,2022.0,2022.0,0500000US06097,357035,0,0,0.7513325024157296,,,California_2020,California_SONOMA
California,SONOMA,6097,2022,,,0.7092335430024208,197454.0,,,1.0,2022.0,2022.0,0500000US06097,357035,1,1,,0.5530382175416976,,California_2022,California_SONOMA
California,SONOMA,6097,2024,0.7143254874197577,251426.0,,,,,1.0,2022.0,2022.0,0500000US06097,357035,1,1,0.7042054700519557,,,California_2024,California_SONOMA
