state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,year
California,6041,Marin County,24612,128288,155801,-103676.0,0.157970744732062,0.8234093491055898,-0.6654386043735278,2020
California,6043,Mariposa County,5950,4088,10280,1862.0,0.5787937743190662,0.3976653696498054,0.1811284046692607,2020
California,6045,Mendocino County,13267,28782,43336,-15515.0,0.3061426989108362,0.664159128669005,-0.3580164297581687,2020
California,6047,Merced County,39397,48991,90541,-9594.0,0.4351288366596348,0.5410918810262754,-0.1059630443666405,2020
California,6049,Modoc County,3109,1150,4338,1959.0,0.7166897187644076,0.2650991240202858,0.4515905947441217,2020
California,6051,Mono County,2513,4013,6737,-1500.0,0.3730146949680867,0.5956657265845332,-0.2226510316164465,2020
California,6053,Monterey County,46299,113953,163883,-67654.0,0.2825125241788349,0.6953314254681694,-0.4128189012893345,2020
California,6055,Napa County,20676,49817,72122,-29141.0,0.2866809018052744,0.6907323701505782,-0.4040514683453038,2020
California,6057,Nevada County,26779,36359,64738,-9580.0,0.4136519509407149,0.5616330439618153,-0.1479810930211004,2020
California,6059,Orange County,676498,814009,1521725,-137511.0,0.4445599566281687,0.5349251671622665,-0.0903652105340977,2020
California,6061,Placer County,122488,106869,235017,15619.0,0.5211878289655641,0.4547288068522702,0.0664590221132939,2020
California,6063,Plumas County,6445,4561,11256,1884.0,0.5725835110163469,0.4052061122956645,0.1673773987206823,2020
California,6065,Riverside County,448702,527945,996156,-79243.0,0.4504334662442428,0.5299822517758263,-0.0795487855315834,2020
California,6067,Sacramento County,259405,440808,718290,-181403.0,0.3611424355065503,0.6136908490999458,-0.2525484135933954,2020
California,6069,San Benito County,10590,17628,28821,-7038.0,0.3674404080358072,0.6116373477672531,-0.2441969397314458,2020
California,6071,San Bernardino County,366257,455859,840931,-89602.0,0.4355375173468453,0.5420884709922693,-0.106550953645424,2020
California,6073,San Diego County,600094,964650,1601722,-364556.0,0.374655526989078,0.6022580697524289,-0.2276025427633509,2020
California,6075,San Francisco County,56417,378156,443458,-321739.0,0.1272206161575617,0.8527436645634987,-0.725523048405937,2020
California,6077,San Joaquin County,121098,161137,288443,-40039.0,0.419833381291971,0.5586441688652524,-0.1388107875732813,2020
California,6079,San Luis Obispo County,67436,88310,159681,-20874.0,0.4223169945077999,0.5530401237467201,-0.1307231292389201,2020
California,6081,San Mateo County,75563,291410,374138,-215847.0,0.2019655848911364,0.7788837273947046,-0.5769181425035681,2020
California,6083,Santa Barbara County,65736,129963,200288,-64227.0,0.328207381370826,0.6488806119188368,-0.3206732305480108,2020
California,6085,Santa Clara County,214612,617967,850522,-403355.0,0.2523297457326207,0.7265737982086296,-0.4742440524760088,2020
California,6087,Santa Cruz County,26937,114246,144796,-87309.0,0.1860341445896295,0.7890135086604603,-0.6029793640708307,2020
California,6089,Shasta County,60789,30000,92900,30789.0,0.6543487621097955,0.3229278794402583,0.3314208826695372,2020
California,6091,Sierra County,1142,730,1930,412.0,0.5917098445595855,0.3782383419689119,0.2134715025906736,2020
California,6093,Siskiyou County,13290,9593,23450,3697.0,0.5667377398720682,0.4090831556503198,0.1576545842217483,2020
California,6095,Solano County,69306,131639,205831,-62333.0,0.3367131287318237,0.6395489503524736,-0.3028358216206499,2020
California,6097,Sonoma County,61825,199938,268252,-138113.0,0.2304735845399102,0.7453364746581572,-0.514862890118247,2020
California,6099,Stanislaus County,104145,105841,214876,-1696.0,0.4846748822576742,0.4925678065488933,-0.0078929242912191,2020
California,6101,Sutter County,24375,17367,42640,7008.0,0.5716463414634146,0.4072936210131332,0.1643527204502814,2020
California,6103,Tehama County,19141,8911,28721,10230.0,0.6664461543818112,0.3102607847916159,0.3561853695901953,2020
California,6105,Trinity County,3188,2851,6258,337.0,0.5094279322467242,0.45557686161713,0.0538510706295941,2020
California,6107,Tulare County,77579,66105,146832,11474.0,0.5283521303258145,0.4502084014383785,0.0781437288874359,2020
California,6109,Tuolumne County,17689,11978,30401,5711.0,0.5818558600046051,0.3940001973619288,0.1878556626426762,2020
California,6111,Ventura County,162207,251388,422698,-89181.0,0.3837420569768487,0.5947224732551373,-0.2109804162782885,2020
California,6113,Yolo County,27292,67598,97264,-40306.0,0.2805971376871196,0.6949950649777924,-0.4143979272906728,2020
California,6115,Yuba County,17676,11230,29787,6446.0,0.593413233961124,0.377010105079397,0.2164031288817269,2020
Utah,49001,Beaver County,2695,357,3100,2338.0,0.8693548387096774,0.1151612903225806,0.7541935483870968,2020
Utah,49003,Box Elder County,21548,4473,27027,17075.0,0.7972767972767972,0.1655011655011655,0.6317756317756318,2020
Utah,49005,Cache County,38032,16650,57571,21382.0,0.6606103767521843,0.2892081082489448,0.3714022685032395,2020
Utah,49007,Carbon County,6693,2392,9369,4301.0,0.7143772014089017,0.255310065108336,0.4590671363005657,2020
Utah,49009,Daggett County,496,111,619,385.0,0.8012924071082391,0.1793214862681744,0.6219709208400647,2020
Utah,49011,Davis County,104135,57411,169895,46724.0,0.6129374025133171,0.3379204802966538,0.2750169222166632,2020
Utah,49013,Duchesne County,7513,843,8524,6670.0,0.8813937118723604,0.0988972313467855,0.7824964805255749,2020
Utah,49015,Emery County,4207,572,4865,3635.0,0.8647482014388489,0.1175745118191161,0.7471736896197327,2020
Utah,49017,Garfield County,2158,514,2732,1644.0,0.7898975109809663,0.1881405563689604,0.6017569546120058,2020
Utah,49019,Grand County,2248,2806,5185,-558.0,0.4335583413693346,0.5411764705882353,-0.1076181292189006,2020
Utah,49021,Iron County,18989,4892,24890,14097.0,0.7629168340699076,0.196544797107272,0.5663720369626356,2020
Utah,49023,Juab County,5087,645,5866,4442.0,0.867200818274804,0.1099556767814524,0.7572451414933515,2020
Utah,49025,Kane County,2998,1083,4180,1915.0,0.7172248803827751,0.2590909090909091,0.458133971291866,2020
Utah,49027,Millard County,5404,624,6160,4780.0,0.8772727272727273,0.1012987012987013,0.775974025974026,2020
Utah,49029,Morgan County,5181,1086,6512,4095.0,0.7956081081081081,0.1667690417690417,0.6288390663390664,2020
Utah,49031,Piute County,773,86,871,687.0,0.8874856486796785,0.0987370838117106,0.7887485648679678,2020
Utah,49033,Rich County,1157,180,1363,977.0,0.8488628026412326,0.132061628760088,0.7168011738811446,2020
Utah,49035,Salt Lake County,230174,289906,541175,-59732.0,0.4253226775072758,0.5356973252644708,-0.1103746477571949,2020
Utah,49037,San Juan County,3535,3113,6878,422.0,0.5139575457981972,0.4526025007269555,0.0613550450712416,2020
Utah,49039,Sanpete County,10459,1794,12631,8665.0,0.8280421185971024,0.1420315097775314,0.686010608819571,2020
Utah,49041,Sevier County,9052,1084,10363,7968.0,0.8734922319791566,0.1046029142140306,0.7688893177651259,2020
Utah,49043,Summit County,10252,15244,26088,-4992.0,0.3929776142287642,0.5843299601349279,-0.1913523459061636,2020
Utah,49045,Tooele County,21014,8943,31518,12071.0,0.6667301224696999,0.2837426232628974,0.3829874992068025,2020
Utah,49047,Uintah County,13261,1663,15307,11598.0,0.8663356634219638,0.1086431044620108,0.7576925589599529,2020
Utah,49049,Utah County,192812,76033,284480,116779.0,0.6777699662542183,0.2672701068616423,0.4104998593925759,2020
Utah,49051,Wasatch County,10795,6187,17581,4608.0,0.6140151299698539,0.3519139980660941,0.2621011319037598,2020
Utah,49053,Washington County,67294,20530,90476,46764.0,0.7437773553207481,0.2269110040231663,0.5168663512975817,2020
Utah,49055,Wayne County,1229,365,1621,864.0,0.7581739666872301,0.2251696483652066,0.5330043183220234,2020
Utah,49057,Weber County,65949,40695,111442,25254.0,0.5917786830817825,0.3651675310924068,0.2266111519893757,2020
Washington,53001,Adams County,3907,1814,5862,2093.0,0.6664960764244285,0.3094506994199932,0.3570453770044353,2020
Washington,53003,Asotin County,7319,4250,11951,3069.0,0.6124173709313028,0.3556187766714082,0.2567985942598945,2020
Washington,53005,Benton County,60365,38706,103033,21659.0,0.5858802519581106,0.3756660487416653,0.2102142032164452,2020
Washington,53007,Chelan County,22746,19349,43306,3397.0,0.5252389969057405,0.4467972105481919,0.0784417863575485,2020
Washington,53009,Clallam County,23062,24721,49264,-1659.0,0.4681308866515102,0.5018065930496914,-0.0336757063981812,2020
Washington,53011,Clark County,126303,140324,275403,-14021.0,0.4586115619655559,0.5095224089788419,-0.050910847013286,2020
Washington,53013,Columbia County,1754,668,2495,1086.0,0.7030060120240481,0.2677354709418837,0.4352705410821643,2020
Washington,53015,Cowlitz County,34424,23938,60280,10486.0,0.5710683477106835,0.3971134704711347,0.1739548772395487,2020
Washington,53017,Douglas County,12955,7811,21308,5144.0,0.607987610287216,0.3665759339215318,0.2414116763656842,2020
Washington,53019,Ferry County,2771,1486,4367,1285.0,0.6345317151362492,0.3402793679871765,0.2942523471490726,2020
Washington,53021,Franklin County,18039,13340,32404,4699.0,0.5566905320330824,0.4116775706702876,0.1450129613627948,2020
Washington,53023,Garfield County,1069,366,1489,703.0,0.7179314976494291,0.2458025520483546,0.4721289456010745,2020
Washington,53025,Grant County,24764,11819,37680,12945.0,0.6572186836518047,0.3136677282377919,0.3435509554140127,2020
Washington,53027,Grays Harbor County,19877,17354,38441,2523.0,0.5170781197159283,0.4514450716682708,0.0656330480476574,2020
Washington,53029,Island County,22746,29213,53925,-6467.0,0.421808066759388,0.541733889661567,-0.1199258229021789,2020
Washington,53031,Jefferson County,6931,17204,24792,-10273.0,0.2795659890287189,0.6939335269441755,-0.4143675379154566,2020
Washington,53033,King County,269167,907310,1210507,-638143.0,0.2223588959006432,0.7495289163961877,-0.5271700204955444,2020
Washington,53035,Kitsap County,61563,90277,158672,-28714.0,0.3879890591912877,0.5689535645860644,-0.1809645053947767,2020
Washington,53037,Kittitas County,14105,11421,26364,2684.0,0.5350098619329389,0.4332043695949021,0.1018054923380367,2020
Washington,53039,Klickitat County,7237,5959,13560,1278.0,0.5337020648967552,0.4394542772861357,0.0942477876106195,2020
Washington,53041,Lewis County,29391,14520,45309,14871.0,0.6486790703833676,0.3204661325564457,0.3282129378269218,2020
Washington,53043,Lincoln County,5150,1713,7033,3437.0,0.7322621925209726,0.2435660457841603,0.4886961467368121,2020
Washington,53045,Mason County,18710,17269,37303,1441.0,0.5015682384794788,0.462938637643085,0.0386296008363938,2020
Washington,53047,Okanogan County,11840,8900,21282,2940.0,0.5563386899727469,0.4181937787801898,0.1381449111925571,2020
Washington,53049,Pacific County,6953,6794,14064,159.0,0.4943828213879408,0.4830773606370876,0.0113054607508532,2020
Washington,53051,Pend Oreille County,5728,2593,8553,3135.0,0.6697065357184614,0.3031684788962937,0.3665380568221676,2020
Washington,53053,Pierce County,197730,249506,464081,-51776.0,0.4260678631531995,0.537634593960968,-0.1115667308077684,2020
